Suburb,Address,Date,Type,Bedroom2,Bathroom,Car,Price,Distance,Landsize,Lattitude,Postcode,Regionname
Brighton,120 Cole St,2016-05-07,house,3.0,2.0,1.0,2145000.0,11.2,550.0,-37.8954,3186.0,Southern Metropolitan
West Footscray,120 Cross St,2016-10-15,house,4.0,1.0,3.0,850000.0,8.2,511.0,-37.8001,3012.0,Western Metropolitan
Pascoe Vale,120 Derby St,2017-11-25,house,3.0,2.0,1.0,750000.0,8.5,658.0,-37.726,3044.0,Northern Metropolitan
Ascot Vale,120 Epsom Rd,2016-05-07,house,3.0,1.0,2.0,970000.0,5.9,350.0,-37.7759,3032.0,Western Metropolitan
Footscray,120 Macpherson St,2016-06-12,house,3.0,1.0,1.0,760000.0,6.4,265.0,-37.7975,3011.0,Western Metropolitan
Thornbury,120 Normanby Av,2016-11-12,house,,,,1265000.0,6.5,,,3071.0,Northern Metropolitan
Essendon,120 Ogilvie St,2017-09-03,unit,2.0,1.0,1.0,850000.0,7.5,,-37.74469,3040.0,Western Metropolitan
Meadow Heights,120 Shankland Bvd,2018-02-03,house,7.0,3.0,2.0,786500.0,17.4,833.0,-37.64417,3048.0,Northern Metropolitan
Templestowe Lower,120 Templestowe Rd,2016-12-03,house,3.0,1.0,2.0,742500.0,13.8,313.0,-37.7556,3107.0,Eastern Metropolitan
Brunswick East,120 Victoria St,2016-11-27,house,3.0,2.0,2.0,1325000.0,4.5,190.0,-37.7684,3057.0,Northern Metropolitan
Balwyn,120/188 Whitehorse Rd,2016-02-04,unit,,,,450000.0,9.7,,,3103.0,Southern Metropolitan
Abbotsford,120/6 Acacia Pl,2017-10-14,unit,,,,313000.0,3.0,,,3067.0,Northern Metropolitan
Richmond,120/8 Garfield St,2017-07-01,unit,,,,390000.0,2.4,,,3121.0,Northern Metropolitan
Melbourne,1201/565 Flinders St,2017-04-22,unit,2.0,2.0,1.0,683000.0,2.8,1136.0,-37.8211,3000.0,Northern Metropolitan
Melbourne,1204/82 Queens Rd,2016-08-13,unit,,,,585000.0,2.8,,,3000.0,Northern Metropolitan
Melbourne,1205/480 St Kilda Rd,2016-05-07,unit,,,,860000.0,2.8,,,3000.0,Northern Metropolitan
Docklands,1207/673 La Trobe St,2017-08-19,unit,,,,430000.0,1.4,,,3008.0,Southern Metropolitan
Preston,120A Bruce St,2016-09-10,house,,,,1260000.0,8.8,,,3072.0,Northern Metropolitan
Hughesdale,120A Poath Rd,2017-08-19,house,2.0,1.0,2.0,1200000.0,12.3,,-37.89601,3166.0,Southern Metropolitan
Northcote,121 Bent St,2016-04-16,house,2.0,1.0,1.0,888000.0,5.5,190.0,-37.7667,3070.0,Northern Metropolitan
Ringwood East,121 Dublin Rd,2018-01-06,house,3.0,1.0,2.0,805000.0,21.3,728.0,-37.8193,3135.0,Eastern Metropolitan
Nunawading,121 Esdale St,2017-10-28,house,3.0,2.0,2.0,1491000.0,15.4,,-37.81401,3131.0,Eastern Metropolitan
Glen Iris,121 High St,2017-07-01,house,4.0,2.0,3.0,1910000.0,7.3,737.0,-37.86231,3146.0,Southern Metropolitan
Carnegie,121 Leila Rd,2017-09-16,house,3.0,2.0,2.0,1500000.0,10.1,603.0,-37.90206,3163.0,Southern Metropolitan
Bellfield,121 Liberty Pde,2017-09-23,house,3.0,1.0,,900000.0,8.8,,-37.75098,3081.0,Eastern Metropolitan
Preston,121 Murray Rd,2017-06-03,house,4.0,1.0,2.0,830000.0,8.4,540.0,-37.73935,3072.0,Northern Metropolitan
Newport,121 North Rd,2017-02-25,house,3.0,2.0,1.0,1100000.0,8.4,293.0,-37.8446,3015.0,Western Metropolitan
Brunswick West,121 Pearson St,2016-11-12,house,3.0,1.0,2.0,1300000.0,5.9,364.0,-37.7618,3055.0,Northern Metropolitan
Flemington,121 Princes St,2017-04-29,house,2.0,1.0,0.0,1060000.0,4.4,209.0,-37.7846,3031.0,Northern Metropolitan
Albert Park,121 Richardson St,2017-09-16,house,3.0,2.0,,1960000.0,3.0,152.0,-37.84662,3206.0,Southern Metropolitan
Sandringham,121 Sandringham Rd,2017-09-09,house,5.0,3.0,2.0,2290000.0,15.2,553.0,-37.95185,3191.0,Southern Metropolitan
Thomastown,121 Spring St,2018-03-03,house,3.0,1.0,1.0,640500.0,15.3,531.0,-37.68168,3074.0,Northern Metropolitan
Keilor East,121 Sterling Dr,2016-09-03,house,3.0,1.0,1.0,650000.0,12.8,538.0,-37.7441,3033.0,Western Metropolitan
West Footscray,121 Suffolk St,2016-07-30,house,3.0,1.0,1.0,878000.0,8.2,397.0,-37.7901,3012.0,Western Metropolitan
Moonee Ponds,121 Vine St,2017-05-13,house,2.0,1.0,2.0,1302500.0,6.9,455.0,-37.7692,3039.0,Western Metropolitan
Sunshine North,121 Warwick Rd,2016-11-12,house,3.0,1.0,1.0,605000.0,13.3,617.0,-37.7683,3020.0,Western Metropolitan
St Kilda,121/135 Inkerman St,2016-11-07,unit,,,,465000.0,6.1,,-37.8651,3182.0,Southern Metropolitan
Melbourne,121/461 St Kilda Rd,2016-06-04,unit,,,,2138000.0,2.8,,,3000.0,Northern Metropolitan
South Melbourne,1212/38 Bank St,2018-02-24,unit,,,,790000.0,1.9,,,3205.0,Southern Metropolitan
Malvern,1219 Malvern Rd,2017-08-12,house,3.0,1.0,2.0,1650000.0,5.9,354.0,-37.85189,3144.0,Southern Metropolitan
Reservoir,121B Henty St,2017-06-24,townhouse,,,,550000.0,12.0,,-37.71865,3073.0,Northern Metropolitan
Heidelberg West,122 Altona St,2017-09-16,house,3.0,2.0,2.0,846000.0,8.8,605.0,-37.74591,3081.0,Eastern Metropolitan
Carlton North,122 Amess St,2016-05-14,house,2.0,2.0,1.0,2210000.0,3.2,190.0,-37.7847,3054.0,Northern Metropolitan
Brunswick East,122 Barkly St,2017-10-21,house,3.0,1.0,2.0,1326000.0,4.0,217.0,-37.77747,3057.0,Northern Metropolitan
Yarraville,122 Blackwood St,2016-07-26,house,4.0,2.0,3.0,1606000.0,7.0,455.0,-37.8177,3013.0,Western Metropolitan
Ivanhoe,122 Bond St,2018-02-24,house,4.0,2.0,2.0,1836000.0,7.8,624.0,-37.76154,3079.0,Eastern Metropolitan
Northcote,122 Emmaline St,2016-09-10,house,2.0,1.0,2.0,1020000.0,5.5,347.0,-37.763,3070.0,Northern Metropolitan
Preston,122 Gilbert Rd,2017-08-26,house,2.0,1.0,1.0,950000.0,8.4,,-37.7471,3072.0,Northern Metropolitan
Sunshine West,122 Glengala Rd,2016-08-22,house,3.0,1.0,1.0,587000.0,13.5,694.0,-37.7892,3020.0,Western Metropolitan
Altona North,122 Mcintosh Rd,2016-04-23,house,3.0,1.0,2.0,590000.0,11.1,561.0,-37.8444,3025.0,Western Metropolitan
Keilor East,122 Prospect Dr,2017-02-11,house,3.0,1.0,1.0,695000.0,12.8,564.0,-37.7445,3033.0,Western Metropolitan
West Melbourne,122 Railway Pl,2018-02-24,townhouse,3.0,2.0,2.0,1150000.0,3.1,678.0,-37.80787,3003.0,Northern Metropolitan
Carlton North,122 Richardson St,2017-03-04,house,2.0,1.0,1.0,1725000.0,3.2,210.0,-37.7844,3054.0,Northern Metropolitan
Preston,122 Tyler St,2017-03-18,house,3.0,1.0,2.0,800000.0,8.8,516.0,-37.7321,3072.0,Northern Metropolitan
Strathmore,122 Woodland St,2016-11-12,house,,,,1620000.0,9.7,,,3041.0,Western Metropolitan
Glen Huntly,122/115 Neerim Rd,2016-06-04,unit,,,,390000.0,10.4,,,3163.0,Southern Metropolitan
Highett,1221A Nepean Hwy,2017-10-14,townhouse,2.0,1.0,2.0,815000.0,16.0,255.0,-37.95616,3190.0,Southern Metropolitan
Bentleigh East,122B Tambet St,2017-05-13,townhouse,3.0,2.0,2.0,1200000.0,13.9,369.0,-37.9092,3165.0,Southern Metropolitan
Brunswick East,123 Barkly St,2016-12-10,house,4.0,2.0,0.0,1280000.0,4.5,161.0,-37.7772,3057.0,Northern Metropolitan
Pascoe Vale,123 Cumberland Rd,2017-07-01,house,3.0,1.0,2.0,870000.0,8.5,654.0,-37.72796,3044.0,Northern Metropolitan
Fairfield,123 Gillies St,2017-11-11,house,3.0,1.0,1.0,1535000.0,5.7,,-37.7751,3078.0,Northern Metropolitan
Lalor,123 Gillwell Rd,2017-09-03,house,4.0,2.0,2.0,715000.0,16.3,500.0,-37.65936,3075.0,Northern Metropolitan
Glenroy,123 Glenroy Rd,2016-08-06,house,3.0,1.0,1.0,670000.0,13.0,652.0,-37.7062,3046.0,Northern Metropolitan
Middle Park,123 Hambleton St,2018-02-24,house,3.0,2.0,1.0,1720000.0,3.0,108.0,-37.84812,3206.0,Southern Metropolitan
Collingwood,123 Hotham St,2017-11-18,house,3.0,2.0,1.0,1460000.0,2.0,151.0,-37.797,3066.0,Northern Metropolitan
Bentleigh East,123 Mackie Rd,2016-09-24,house,3.0,2.0,3.0,1161000.0,13.9,629.0,-37.912,3165.0,Southern Metropolitan
Brighton,123 Male St,2018-03-03,house,2.0,1.0,0.0,1250000.0,10.5,199.0,-37.90914,3186.0,Southern Metropolitan
Middle Park,123 Neville St,2018-02-24,house,3.0,2.0,,1712000.0,3.0,125.0,-37.85086,3206.0,Southern Metropolitan
Caulfield North,123 Normanby Rd,2016-08-28,house,4.0,2.0,1.0,2170000.0,8.1,810.0,-37.8698,3161.0,Southern Metropolitan
Kensington,123 Rankins Rd,2016-09-24,house,2.0,1.0,1.0,850000.0,4.2,169.0,-37.7925,3031.0,Northern Metropolitan
Avondale Heights,123 Riviera Rd,2018-03-17,house,4.0,3.0,2.0,1600000.0,9.5,803.0,-37.75262,3034.0,Western Metropolitan
Balwyn North,123 Winfield Rd,2016-11-27,house,5.0,2.0,3.0,1560000.0,9.2,845.0,-37.7898,3104.0,Southern Metropolitan
Hawthorn East,123/20 Camberwell Rd,2016-10-15,unit,,,,670000.0,7.5,,,3123.0,Southern Metropolitan
Oakleigh,1231 North Rd,2017-03-18,house,4.0,1.0,2.0,991000.0,14.0,683.0,-37.9107,3166.0,Southern Metropolitan
Sandringham,124 Abbott St,2017-07-22,house,3.0,2.0,1.0,1651000.0,15.2,390.0,-37.95035,3191.0,Southern Metropolitan
Seddon,124 Albert St,2017-08-12,house,4.0,2.0,2.0,1870000.0,5.1,457.0,-37.80803,3011.0,Western Metropolitan
Northcote,124 Arthurton Rd,2018-03-10,house,3.0,1.0,2.0,1010000.0,5.3,422.0,-37.76798,3070.0,Northern Metropolitan
Gladstone Park,124 Carrick Dr,2017-07-22,house,3.0,1.0,1.0,645000.0,12.9,556.0,-37.69584,3043.0,Western Metropolitan
Williamstown,124 Cecil St,2018-02-10,house,3.0,2.0,2.0,1245000.0,6.8,,-37.86272,3016.0,Western Metropolitan
Altona North,124 Chambers Rd,2018-03-17,house,4.0,1.0,2.0,875000.0,9.4,636.0,-37.8288,3025.0,Western Metropolitan
Brighton,124 Cole St,2016-08-06,house,4.0,2.0,3.0,1761000.0,11.2,615.0,-37.8956,3186.0,Southern Metropolitan
Thornbury,124 Fyffe St,2017-09-09,house,4.0,2.0,3.0,1530000.0,7.0,,-37.75317,3071.0,Northern Metropolitan
Thornbury,124 Fyffe St,2017-09-23,house,4.0,2.0,3.0,1600000.0,7.0,,-37.75317,3071.0,Northern Metropolitan
Bundoora,124 Greenwood Dr,2017-11-11,house,5.0,2.0,1.0,800000.0,12.1,,-37.7053,3083.0,Northern Metropolitan
Fawkner,124 Jukes Rd,2017-11-25,house,3.0,1.0,1.0,971000.0,13.1,589.0,-37.7015,3060.0,Northern Metropolitan
Reservoir,124 Leamington St,2017-10-28,house,4.0,2.0,3.0,925000.0,12.0,,-37.71185,3073.0,Northern Metropolitan
Dandenong North,124 Loch Rd,2017-10-28,house,3.0,1.0,1.0,639000.0,24.7,,-37.95478,3175.0,South-Eastern Metropolitan
Fawkner,124 Major Rd,2017-10-21,house,3.0,3.0,3.0,756000.0,13.1,,-37.7066,3060.0,Northern Metropolitan
Epping,124 Northumberland Dr,2017-06-03,house,3.0,2.0,3.0,598000.0,19.6,558.0,-37.64262,3076.0,Northern Metropolitan
Coburg,124 Ohea St,2016-06-27,house,4.0,1.0,2.0,770000.0,7.8,408.0,-37.7366,3058.0,Northern Metropolitan
Bellfield,124 Oriel Rd,2017-05-27,house,3.0,1.0,2.0,780000.0,8.8,680.0,-37.75255,3081.0,Eastern Metropolitan
Westmeadows,124 Raleigh St,2017-05-27,house,5.0,2.0,2.0,560000.0,16.5,626.0,-37.67688,3049.0,Northern Metropolitan
Reservoir,124 Rathcown Rd,2016-06-27,house,2.0,1.0,1.0,680000.0,11.2,750.0,-37.7089,3073.0,Northern Metropolitan
Templestowe Lower,124 Swanston St,2017-06-17,house,3.0,2.0,1.0,1240000.0,12.4,673.0,-37.75965,3107.0,Eastern Metropolitan
Fitzroy,124 Westgarth St,2016-08-13,house,3.0,2.0,1.0,1481000.0,1.6,138.0,-37.795,3065.0,Northern Metropolitan
Mckinnon,124 Wheatley Rd,2017-08-19,townhouse,3.0,2.0,2.0,1125000.0,11.4,305.0,-37.90734,3204.0,Southern Metropolitan
Abbotsford,124 Yarra St,2016-05-07,house,4.0,2.0,0.0,1876000.0,2.5,245.0,-37.8024,3067.0,Northern Metropolitan
Oakleigh,1249 North Rd,2016-09-17,house,2.0,1.0,2.0,865000.0,14.0,691.0,-37.9109,3166.0,Southern Metropolitan
Northcote,124A Victoria Rd,2016-09-10,house,2.0,1.0,2.0,990000.0,5.5,497.0,-37.7739,3070.0,Northern Metropolitan
Essendon,124C Hoffmans Rd,2016-10-15,townhouse,3.0,1.0,2.0,720000.0,8.0,190.0,-37.7418,3040.0,Western Metropolitan
Preston,125 Albert St,2017-05-13,house,4.0,1.0,1.0,770000.0,8.8,494.0,-37.7386,3072.0,Northern Metropolitan
Glenroy,125 Augustine Tce,2017-12-09,house,5.0,3.0,2.0,810000.0,11.2,909.0,-37.695,3046.0,Northern Metropolitan
Sandringham,125 Beach Rd,2017-12-09,house,3.0,1.0,3.0,1800000.0,15.2,,-37.95301,3191.0,Southern Metropolitan
Bentleigh East,125 Bignell Rd,2017-06-24,house,3.0,2.0,3.0,1410000.0,13.8,722.0,-37.93179,3165.0,Southern Metropolitan
Clayton South,125 Bourke Rd,2018-03-17,house,3.0,1.0,1.0,820000.0,17.5,533.0,-37.94183,3169.0,South-Eastern Metropolitan
Cremorne,125 Cubitt St,2018-02-24,house,3.0,1.0,,1285000.0,2.4,150.0,-37.83031,3121.0,Northern Metropolitan
Fairfield,125 Grange Rd,2017-03-18,house,3.0,2.0,1.0,1700000.0,5.8,743.0,-37.7728,3078.0,Northern Metropolitan
Thornbury,125 Hutton St,2017-10-07,house,2.0,1.0,,1266000.0,7.0,,-37.75499,3071.0,Northern Metropolitan
Tarneit,125 Isabella Wy,2017-11-11,house,3.0,2.0,2.0,461000.0,18.4,301.0,-37.8386,3029.0,Western Metropolitan
South Melbourne,125 Napier St,2017-04-22,house,2.0,1.0,1.0,1150000.0,2.1,91.0,-37.836,3205.0,Southern Metropolitan
Carlton North,125 Newry St,2017-09-09,house,2.0,1.0,,950000.0,3.5,97.0,-37.7899,3054.0,Northern Metropolitan
Bellfield,125 Oriel Rd,2017-04-08,house,3.0,2.0,3.0,894000.0,9.5,601.0,-37.7524,3081.0,Eastern Metropolitan
Airport West,125 Parer Rd,2017-08-26,house,3.0,1.0,3.0,880000.0,10.4,626.0,-37.71919,3042.0,Western Metropolitan
Brighton,125 Roslyn St,2017-06-03,house,3.0,1.0,2.0,1950000.0,10.5,632.0,-37.91677,3186.0,Southern Metropolitan
Brunswick East,125 Stewart St,2017-08-19,house,2.0,1.0,0.0,910000.0,4.0,,-37.76453,3057.0,Northern Metropolitan
Coburg,125 The Avenue,2018-02-10,house,2.0,1.0,1.0,980000.0,6.7,298.0,-37.75291,3058.0,Northern Metropolitan
West Melbourne,125/33 Jeffcott St,2017-07-08,unit,2.0,1.0,1.0,670000.0,3.1,17.0,-37.8118,3003.0,Northern Metropolitan
Essendon,125A Ogilvie St,2016-11-12,house,4.0,3.0,1.0,1590000.0,8.0,475.0,-37.7418,3040.0,Western Metropolitan
Preston,126 Albert St,2016-06-12,house,3.0,1.0,3.0,600000.0,8.8,503.0,-37.739,3072.0,Northern Metropolitan
Coburg,126 Barrow St,2017-07-01,house,2.0,1.0,1.0,900000.0,6.7,350.0,-37.74483,3058.0,Northern Metropolitan
Oakleigh,126 Burlington St,2016-07-16,house,,,,600000.0,14.0,,,3166.0,Southern Metropolitan
Box Hill,126 Carrington Rd,2016-07-16,unit,3.0,1.0,1.0,616000.0,13.1,155.0,-37.8193,3128.0,Eastern Metropolitan
Thornbury,126 Keon St,2016-10-15,house,3.0,2.0,2.0,1265000.0,6.5,397.0,-37.7515,3071.0,Northern Metropolitan
Eaglemont,126 Locksley Rd,2017-12-09,house,3.0,1.0,3.0,2201000.0,8.9,,-37.76582,3084.0,Eastern Metropolitan
Essendon,126 Market St,2017-09-03,house,3.0,1.0,2.0,1500000.0,7.5,649.0,-37.74212,3040.0,Western Metropolitan
Albert Park,126 Mills St,2017-07-01,house,2.0,1.0,0.0,1535000.0,3.0,171.0,-37.8481,3206.0,Southern Metropolitan
Flemington,126 Princes St,2018-03-17,house,2.0,1.0,0.0,1015000.0,3.4,217.0,-37.78416,3031.0,Northern Metropolitan
Altona North,126 Sixth Av,2016-07-30,house,,,,800000.0,11.1,,,3025.0,Western Metropolitan
Thornbury,126 Smith St,2016-08-28,house,3.0,2.0,1.0,1380000.0,6.5,359.0,-37.7565,3071.0,Northern Metropolitan
Ardeer,126 Suspension St,2017-12-09,house,3.0,1.0,1.0,615000.0,12.8,,-37.78132,3022.0,Western Metropolitan
Ascot Vale,126 The Parade,2016-11-19,house,2.0,1.0,1.0,1010000.0,5.9,325.0,-37.7722,3032.0,Western Metropolitan
Oak Park,126A Winifred St,2017-04-08,house,3.0,2.0,1.0,755000.0,11.5,341.0,-37.7166,3046.0,Northern Metropolitan
Essendon,127 Deakin St,2017-08-12,house,2.0,1.0,1.0,1280000.0,7.5,512.0,-37.74121,3040.0,Western Metropolitan
Sunshine,127 Duke St,2016-09-17,house,3.0,1.0,1.0,655000.0,12.6,497.0,-37.7809,3020.0,Western Metropolitan
Wantirna South,127 Fraser Cr,2017-09-09,house,6.0,3.0,3.0,1155000.0,14.7,754.0,-37.88153,3152.0,Eastern Metropolitan
Fitzroy,127 George St,2016-11-07,house,4.0,1.0,1.0,1780000.0,1.6,186.0,-37.8048,3065.0,Northern Metropolitan
Coburg,127 Nicholson St,2018-02-24,house,3.0,1.0,2.0,865000.0,6.7,465.0,-37.74793,3058.0,Northern Metropolitan
Albert Park,127 Page St,2017-10-28,house,4.0,2.0,,2040000.0,3.0,,-37.84785,3206.0,Southern Metropolitan
Flemington,127 Princes St,2017-09-09,house,3.0,1.0,0.0,820000.0,3.4,185.0,-37.78449,3031.0,Northern Metropolitan
West Footscray,127 Stanhope St,2017-09-16,house,3.0,3.0,2.0,1060000.0,6.4,512.0,-37.79487,3012.0,Western Metropolitan
Elwood,127 Tennyson St,2018-03-03,house,4.0,3.0,2.0,1920000.0,7.2,339.0,-37.88271,3184.0,Southern Metropolitan
Bentleigh,127 Tucker Rd,2017-03-04,house,4.0,2.0,2.0,1260000.0,13.0,793.0,-37.9232,3204.0,Southern Metropolitan
Flemington,127 Wellington St,2017-10-14,house,,,,947500.0,3.4,,,3031.0,Northern Metropolitan
Kew,1271 Burke Rd,2017-10-21,house,3.0,2.0,2.0,1885000.0,5.4,,-37.80764,3101.0,Southern Metropolitan
Sandringham,127A Bay Rd,2017-10-21,house,3.0,1.0,1.0,1185000.0,15.2,,-37.95313,3191.0,Southern Metropolitan
Airport West,127A Parer Rd,2017-05-27,townhouse,3.0,2.0,1.0,856000.0,10.4,300.0,-37.71917,3042.0,Western Metropolitan
Northcote,127A Separation St,2016-05-22,townhouse,,,,700000.0,5.5,,,3070.0,Northern Metropolitan
Oakleigh,128 Atherton Rd,2017-03-04,house,2.0,1.0,2.0,1010000.0,14.0,553.0,-37.9001,3166.0,Southern Metropolitan
Rosanna,128 Beverley Rd,2017-08-26,house,3.0,1.0,0.0,1075000.0,8.9,,-37.74627,3084.0,Eastern Metropolitan
Ivanhoe,128 Bond St,2017-05-13,house,5.0,2.0,2.0,1689000.0,7.9,633.0,-37.7615,3079.0,Eastern Metropolitan
Northcote,128 Charles St,2017-06-24,house,3.0,1.0,1.0,1240000.0,5.3,247.0,-37.77747,3070.0,Northern Metropolitan
Hawthorn,128 Church St,2018-01-06,house,4.0,2.0,2.0,2055000.0,5.3,578.0,-37.81796,3122.0,Southern Metropolitan
Ivanhoe,128 Green St,2017-05-27,house,3.0,1.0,2.0,1475000.0,7.8,424.0,-37.76353,3079.0,Eastern Metropolitan
Cremorne,128 Gwynne St,2017-11-25,house,,,,1265500.0,2.4,,,3121.0,Northern Metropolitan
Doncaster,128 High St,2017-06-03,house,5.0,2.0,2.0,1370000.0,12.4,768.0,-37.77934,3108.0,Eastern Metropolitan
Donvale,128 Mitcham Rd,2017-09-23,unit,3.0,2.0,1.0,775000.0,16.1,294.0,-37.79937,3111.0,Eastern Metropolitan
Altona North,128 Second Av,2016-10-15,house,,,,870000.0,11.1,,,3025.0,Western Metropolitan
Glenroy,128 Widford St,2016-11-19,house,3.0,1.0,1.0,710000.0,13.0,796.0,-37.6955,3046.0,Northern Metropolitan
West Melbourne,128/33 Jeffcott St,2017-09-23,unit,3.0,2.0,1.0,742000.0,3.1,,-37.8118,3003.0,Northern Metropolitan
Noble Park,1281 Heatherton Rd,2018-02-24,house,3.0,2.0,2.0,742500.0,22.7,695.0,-37.9666,3174.0,South-Eastern Metropolitan
Malvern East,1281B Dandenong Rd,2017-03-04,house,4.0,2.0,2.0,1215000.0,11.2,207.0,-37.8845,3145.0,Southern Metropolitan
Preston,128C Raglan St,2017-11-11,townhouse,2.0,1.0,1.0,710000.0,8.4,,-37.7503,3072.0,Northern Metropolitan
Preston,129 Albert St,2017-06-03,house,3.0,1.0,2.0,850000.0,8.4,485.0,-37.7383,3072.0,Northern Metropolitan
Brunswick,129 Albion St,2016-10-08,house,4.0,1.0,0.0,1115000.0,5.2,264.0,-37.7611,3056.0,Northern Metropolitan
Eaglemont,129 Banksia St,2017-07-08,house,3.0,1.0,2.0,1300000.0,8.9,615.0,-37.75825,3084.0,Eastern Metropolitan
Abbotsford,129 Charles St,2016-05-07,house,2.0,1.0,0.0,941000.0,2.5,181.0,-37.8041,3067.0,Northern Metropolitan
Thornbury,129 Clarendon St,2016-11-27,house,3.0,2.0,3.0,1370000.0,6.5,417.0,-37.7602,3071.0,Northern Metropolitan
South Melbourne,129 Cobden St,2017-10-21,house,2.0,1.0,,1225000.0,1.9,100.0,-37.83661,3205.0,Southern Metropolitan
Essendon,129 Deakin St,2017-07-29,townhouse,3.0,2.0,2.0,1002000.0,7.5,292.0,-37.74093,3040.0,Western Metropolitan
Port Melbourne,129 Esplanade Pl,2017-05-20,house,,,,1700000.0,3.8,,,3207.0,Southern Metropolitan
Brunswick,129 Glenlyon Rd,2017-05-06,house,3.0,1.0,2.0,1652000.0,5.2,506.0,-37.7723,3056.0,Northern Metropolitan
Glenroy,129 Glenroy Rd,2017-09-03,house,3.0,1.0,2.0,830000.0,11.2,655.0,-37.70608,3046.0,Northern Metropolitan
Balwyn,129 Gordon St,2016-12-03,house,3.0,3.0,2.0,2200000.0,9.7,651.0,-37.8085,3103.0,Southern Metropolitan
Middle Park,129 Hambleton St,2017-04-29,house,3.0,1.0,0.0,1630000.0,4.1,143.0,-37.8484,3206.0,Southern Metropolitan
Albert Park,129 Kerferd Rd,2017-03-18,house,3.0,1.0,0.0,1900000.0,3.3,209.0,-37.8468,3206.0,Southern Metropolitan
Bellfield,129 Liberty Pde,2016-05-28,house,3.0,1.0,2.0,625000.0,9.5,609.0,-37.7504,3081.0,Eastern Metropolitan
Reservoir,129 Mcfadzean Av,2016-09-17,house,,,,730000.0,11.2,,,3073.0,Northern Metropolitan
Heidelberg West,129 Outhwaite Rd,2017-06-24,house,2.0,1.0,3.0,875000.0,8.8,671.0,-37.73902,3081.0,Eastern Metropolitan
Windsor,129 Peel St,2017-09-16,house,3.0,1.0,2.0,2056000.0,4.6,,-37.85536,3181.0,Southern Metropolitan
Northcote,129 Separation St,2016-11-19,house,3.0,1.0,0.0,980000.0,5.5,279.0,-37.77,3070.0,Northern Metropolitan
Reservoir,129 Spring St,2016-08-22,house,2.0,1.0,0.0,623500.0,11.2,452.0,-37.7271,3073.0,Northern Metropolitan
Avondale Heights,129 Templewood Cr,2016-05-14,house,,,,1631000.0,10.5,,,3034.0,Western Metropolitan
Glenroy,129 View St,2017-05-20,house,3.0,1.0,2.0,643000.0,13.0,674.0,-37.6957,3046.0,Northern Metropolitan
Mont Albert,129 Windsor Cr,2018-01-06,house,4.0,2.0,2.0,2105000.0,10.2,584.0,-37.82464,3127.0,Eastern Metropolitan
Camberwell,12A Aisbett Av,2016-08-13,townhouse,,,,1500000.0,7.8,,,3124.0,Southern Metropolitan
Caulfield South,12A Almond St,2017-04-29,house,2.0,1.0,2.0,997000.0,9.3,311.0,-37.8895,3162.0,Southern Metropolitan
Preston,12A Austral Av,2016-05-07,townhouse,,,,995000.0,8.8,,,3072.0,Northern Metropolitan
Avondale Heights,12A Doyle St,2017-07-01,unit,3.0,1.0,1.0,622000.0,9.5,204.0,-37.76215,3034.0,Western Metropolitan
Bulleen,12A Flinders St,2017-11-25,townhouse,,,,1350000.0,10.8,,,3105.0,Eastern Metropolitan
Moonee Ponds,12A George St,2017-11-11,house,3.0,1.0,1.0,1280000.0,6.2,,-37.7623,3039.0,Western Metropolitan
Bentleigh,12A Hutchinson St,2018-01-06,townhouse,3.0,2.0,2.0,1185000.0,11.4,383.0,-37.92396,3204.0,Southern Metropolitan
Heidelberg West,12A Lae St,2016-05-28,townhouse,,,,755000.0,9.4,,,3081.0,Eastern Metropolitan
Fawkner,12A Major Rd,2018-03-17,house,3.0,1.0,2.0,867500.0,13.1,785.0,-37.70793,3060.0,Northern Metropolitan
Preston,12A Milton Cr,2017-05-20,house,,,,860000.0,8.8,,,3072.0,Northern Metropolitan
Moorabbin,12A Schofield St,2017-07-29,townhouse,,,,1320000.0,14.3,,,3189.0,Southern Metropolitan
Canterbury,12A View St,2016-07-26,house,3.0,2.0,2.0,1850000.0,9.0,361.0,-37.8206,3126.0,Southern Metropolitan
Bentleigh,12B Coates St,2016-08-06,townhouse,3.0,3.0,2.0,1435000.0,13.0,291.0,-37.9278,3204.0,Southern Metropolitan
Bentleigh East,12B Hinkler Av,2017-11-25,townhouse,,,,1315000.0,13.8,,,3165.0,Southern Metropolitan
Notting Hill,12B Samada St,2017-11-25,townhouse,3.0,2.0,2.0,925000.0,16.7,,-37.9048,3168.0,Southern Metropolitan
Spotswood,13 Abbott St,2016-09-17,house,2.0,1.0,3.0,835000.0,7.7,459.0,-37.8255,3015.0,Western Metropolitan
Glenroy,13 Acacia St,2017-03-04,house,5.0,3.0,1.0,850000.0,13.0,487.0,-37.7088,3046.0,Northern Metropolitan
Wheelers Hill,13 Adam Av,2017-10-28,house,4.0,2.0,2.0,1235000.0,16.7,657.0,-37.9045,3150.0,South-Eastern Metropolitan
Preston,13 Adeline St,2018-03-03,house,3.0,2.0,1.0,1265000.0,8.4,447.0,-37.74752,3072.0,Northern Metropolitan
Kensington,13 Albermarle St,2018-03-03,house,3.0,2.0,0.0,1390000.0,3.4,146.0,-37.79611,3031.0,Northern Metropolitan
Templestowe Lower,13 Alburnum Cr,2016-08-13,house,,,,982000.0,13.8,,,3107.0,Eastern Metropolitan
